"","COW","YEAR","additiveHR","respectHR","polity2","democracy","cat","cescr","cerd","ccpr","cedaw","crc","TREATY","TreatyCount"
"1",2,2010,6,0.39897219,10,1,1,0,1,1,0,0,0.666666667,3
"2",20,2010,6,2.084298534,10,1,1,1,1,1,1,1,1,6
"3",31,2010,6,1.270684025,NA,NA,0,1,1,1,1,1,1,5
"4",40,2010,4,0.075359584,-7,0,1,0,1,1,1,1,0.666666667,5
"5",41,2010,6,0.536603007,0,0,0,0,1,1,1,1,0.666666667,4
"6",42,2010,4,-0.663264693,8,1,0,1,1,1,1,1,1,5
"7",51,2010,4,-0.50648422,9,1,0,1,1,1,1,1,1,5
"8",52,2010,6,0.777173921,10,1,0,1,1,1,1,1,1,5
"9",53,2010,7,1.469481468,NA,NA,0,1,1,1,1,1,1,5
"10",54,2010,8,2.138988169,NA,NA,0,1,0,1,1,0,0.666666667,3
"11",55,2010,7,2.282101763,NA,NA,0,1,0,1,1,1,0.666666667,4
"12",56,2010,6,1.006643327,NA,NA,0,0,1,0,1,1,0.333333333,3
"13",57,2010,6,1.371907136,NA,NA,1,1,1,1,1,1,1,6
"14",58,2010,7,2.022672535,NA,NA,1,0,1,0,1,1,0.333333333,4
"15",60,2010,8,3.385877803,NA,NA,0,0,1,0,0,1,0.333333333,2
"16",70,2010,3,-0.854946716,8,1,1,1,1,1,1,1,1,6
"17",80,2010,6,0.947523819,NA,NA,1,0,1,1,1,1,0.666666667,5
"18",90,2010,6,0.319160248,8,1,1,1,1,1,1,1,1,6
"19",91,2010,3,-0.366600186,7,1,1,1,1,1,1,1,1,6
"20",92,2010,5,0.396753163,8,1,1,1,1,1,1,1,1,6
"21",93,2010,4,0.460465298,9,1,1,1,1,1,1,1,1,6
"22",94,2010,7,1.943242934,10,1,1,1,1,1,1,1,1,6
"23",95,2010,4,1.208407163,9,1,1,1,1,1,1,1,1,6
"24",100,2010,1,-1.556847693,7,1,1,1,1,1,1,1,1,6
"25",101,2010,2,-0.548127779,-3,0,1,1,1,1,1,1,1,6
"26",110,2010,5,0.901880617,6,0,1,1,1,1,1,1,1,6
"27",115,2010,7,1.572527507,NA,NA,0,1,1,1,1,1,1,5
"28",130,2010,5,0.589837966,5,0,1,1,0,1,1,1,0.666666667,5
"29",135,2010,5,0.588479191,9,1,1,1,1,1,1,1,1,6
"30",140,2010,4,-0.91072801,8,1,1,1,1,1,1,1,1,6
"31",145,2010,5,1.003237874,7,1,1,1,1,1,1,1,1,6
"32",150,2010,7,0.612841632,8,1,1,1,1,1,1,1,1,6
"33",155,2010,7,1.390451234,10,1,1,1,1,1,1,1,1,6
"34",160,2010,4,0.690568647,8,1,1,1,1,1,1,1,1,6
"35",165,2010,6,2.324087401,10,1,1,1,1,1,1,1,1,6
"36",200,2010,7,1.76239355,10,1,1,1,1,1,1,1,1,6
"37",205,2010,7,2.344678792,10,1,1,1,1,1,1,1,1,6
"38",210,2010,7,3.01313193,10,1,1,1,1,1,1,1,1,6
"39",211,2010,7,1.920290153,8,1,1,1,1,1,1,1,1,6
"40",212,2010,8,4.791151581,NA,NA,1,1,1,1,1,1,1,6
"41",220,2010,7,1.793408166,9,1,1,1,0,1,1,1,0.666666667,5
"42",221,2010,8,4.157642054,NA,NA,1,1,1,1,1,1,1,6
"43",223,2010,8,4.177536593,NA,NA,1,1,1,1,1,1,1,6
"44",225,2010,7,2.01054439,10,1,1,1,1,1,1,1,1,6
"45",230,2010,7,1.518543015,10,1,1,1,1,1,0,1,1,5
