Country_Number,Democracy,Corruption,Attacks
1,0,0.97590363,4
2,0,0.90361446,3
3,1,0.74698794,4
4,0,0.3493976,1
5,1,0.78313255,4
6,0,0.80722892,3
7,1,0.084337346,2
8,1,0.18072289,2
9,0,0.85542166,4
10,1,0.91566265,4
11,1,0.27710843,1
12,1,0.78313255,3
13,0,0.6987952,1
14,1,0.84337348,2
15,1,0.67469877,4
16,0,0.51807231,1
17,1,0.77108431,4
18,0,0.84337348,3
19,1,0.80722892,4
20,1,0.68674701,2
21,1,0.24096386,1
22,0,0.53012049,2
23,1,0.45783132,1
24,0,0.89156628,2
25,1,0.084337346,2
26,1,0.048192769,1
27,1,0.3253012,1
28,0,0.6987952,3
29,0,0.87951809,4
30,0,0.86746991,1
31,0,0.90361446,4
32,0,0.90361446,1
33,1,0.68674701,4
34,1,0.85542166,4
35,1,0.51807231,1
36,1,0.49397591,1
37,0,0.60240966,1
38,1,0.33734939,1
39,1,0.54216868,3
40,1,0.16867469,1
41,0,0.79518074,3
42,1,0.012048192,1
43,1,0.77108431,3
44,0,0.79518074,1
45,1,0.86746991,4
46,0,0.79518074,3
47,0,0.81927711,4
48,1,0.39759037,1
49,1,0.33734939,1
50,0,0.80722892,3
51,1,0.060240965,1
52,0,NA,3
53,1,0.30120483,2
54,0,0.78313255,3
55,1,0.20481928,1
56,1,0.63855422,3
57,1,0.66265059,3
58,0,0.91566265,2
59,0,0.78313255,4
60,0,0.90361446,3
61,0,0.91566265,4
62,1,0.67469877,1
63,1,0.72289157,3
64,1,0.81927711,2
65,NA,0.14457831,1
66,0,0.83132529,4
67,1,0.63855422,4
68,0,0.91566265,4
69,1,0.51807231,1
70,1,0.79518074,3
71,1,0.72289157,1
72,1,0.16867469,1
73,0,0.91566265,3
74,0,0.9518072,4
75,1,0.084337346,2
76,1,0.39759037,4
77,1,0.61445785,4
78,1,0.77108431,2
79,0,0.53012049,2
80,1,0.20481928,1
81,0,0.80722892,3
82,1,0.86746991,4
83,0,0.90361446,4
84,0,0.89156628,4
85,1,0.46987951,2
86,0,0.63855422,1
87,0,0.89156628,1
88,0,0.83132529,4
89,1,0.75903612,2
90,0,0.83132529,4
91,1,0.75903612,3
92,1,0.73493975,3
93,1,0.54216868,1
94,1,0.14457831,1
95,1,0.59036142,2
96,0,0.73493975,2
97,1,0.73493975,3
98,0,0.77108431,3
99,1,0.83132529,4
100,1,0.73493975,2
101,1,0.67469877,4
102,1,0.79518074,2
103,1,0.50602412,3
104,0,0.96385545,4
105,NA,0.66265059,3
106,1,0.80722892,3
107,0,0.83132529,1
108,0,0.83132529,2
109,1,0.48192772,2
110,1,0.73493975,3
111,0,0.59036142,2
112,0,0.59036142,1
113,0,0.78313255,4
114,0,0.83132529,3
115,1,0.83132529,4
116,1,0.060240965,2
117,1,0.096385539,1
118,1,0.85542166,2
119,1,0,2
120,0,0.46987951,1
121,1,0.84337348,4
122,1,0.72289157,3
123,1,0.68674701,4
124,1,0.84337348,3
125,1,0.87951809,2
126,1,0.53012049,1
127,0,NA,4
128,1,0.43373495,2
129,1,0.87951809,4
130,NA,NA,2
131,NA,NA,3
132,0,0.28915662,1
133,1,0.67469877,4
134,0,0.86746991,1
135,0,0.73493975,4
136,0,0.61445785,2
137,0,0.9518072,2
138,1,0.77108431,2
139,0,0.024096385,1
140,1,0.79518074,1
141,1,0.86746991,2
142,1,0.72289157,4
143,NA,NA,3
144,0,1,3
145,1,0.71084338,4
146,1,0.79518074,3
147,1,0.68674701,2
148,1,0.59036142,3
149,1,0.33734939,2
150,1,0.024096385,1
151,0,0.6987952,4
152,0,0.55421686,1
153,0,0.81927711,2
154,0,0.93975902,3
155,0,0.79518074,2
156,0,0.72289157,4
157,0,0.89156628,3
158,0,0.91566265,2
159,1,0.86746991,3
160,1,0.6987952,2
161,0,0.62650603,2
162,1,0.60240966,3
163,1,0.45783132,3
164,0,0.81927711,2
165,0,0.83132529,3
166,1,0.86746991,4
167,1,0.3253012,1
168,1,0.22891566,1
169,0,0.92771083,2
170,0,0.90361446,4
171,0,0.80722892,3
172,1,0.74698794,1
173,NA,NA,3
174,0,0.87951809,2
175,1,0.56626505,4
176,1,0.77108431,2
177,0,0.86746991,3
178,NA,NA,2
