"Country_Number","Democracy","Attacks","Corruption"
1,0,3.89378876006231,4
2,0,3.1441525677219,4
3,1,3.95448846090585,3
4,0,1.19150870200247,1
5,1,4.22023364214692,3
6,0,2.77277824969497,3
7,1,2.0140527440235,1
8,1,2.19620952219702,1
9,0,4.02571750723291,4
10,1,3.97830736765172,4
11,1,1.22841667267494,1
12,1,2.97666707809549,3
13,0,1.08878531772643,2
14,1,2.0363167009782,4
15,1,3.80146234133281,2
16,0,1.19991248520091,1
17,1,3.87304386717733,3
18,0,2.77102976676542,4
19,1,3.91396035964135,3
20,1,2.22725182457361,2
21,1,1.19476965803187,1
22,0,2.0964017030783,1
23,1,1.07025340688415,1
24,0,2.24713488831185,4
25,1,2.07785289955791,1
26,1,1.10426523408387,1
27,1,1.02203301235568,1
28,0,3.04707101022359,2
29,0,3.89457986864727,4
30,0,0.823556823655963,4
31,0,4.23151211626828,4
32,0,1.20114952255972,4
33,1,4.09535263921134,2
34,1,4.14773370884359,4
35,1,0.762306842254475,1
36,1,0.988897985545918,1
37,0,1.12922976876143,2
38,1,0.858203967916779,1
39,1,2.90909050381742,2
40,1,0.865812892676331,1
41,0,2.82140001119114,3
42,1,0.95727316790726,1
43,1,2.95686216314789,3
44,0,0.934422725462355,3
45,1,3.82622237387113,4
46,0,2.8194030317245,3
47,0,3.8665170497261,3
48,1,0.982981225126423,1
49,1,0.882986320182681,1
50,0,3.17891385767143,3
51,1,0.772915583336726,1
52,0,2.97110003710259,NA
53,1,2.14946242282167,1
54,0,2.81094962998759,3
55,1,1.03047399187926,1
56,1,2.85326569480821,2
57,1,2.81376582512166,2
58,0,2.12665393215138,4
59,0,4.19752267957665,3
60,0,2.93723138794303,4
61,0,4.08255759731401,4
62,1,0.797420330462046,2
63,1,2.94198481889907,2
64,1,1.8871918222867,3
65,NA,1.15732001943979,1
66,0,3.97425817069598,3
67,1,4.1550321765244,2
68,0,4.15619475475978,4
69,1,1.14717116055544,1
70,1,2.96991584380157,3
71,1,1.12723757931963,2
72,1,1.06461056577973,1
73,0,3.10509120067582,4
74,0,3.7503123866627,4
75,1,1.98765828704927,1
76,1,3.86005944258068,1
77,1,3.93990826886147,2
78,1,2.05638550163712,3
79,0,1.92589895462152,1
80,1,0.805567712173797,1
81,0,2.87180973635986,3
82,1,4.08402779372409,4
83,0,3.95882338983938,4
84,0,4.14409791701473,4
85,1,1.80143232212868,1
86,0,0.967446370748803,2
87,0,1.24247848999221,4
88,0,4.19652555719949,3
89,1,2.19323453039397,3
90,0,3.83752632513642,3
91,1,2.81534784578253,3
92,1,3.07655096251983,2
93,1,0.9217582361307,2
94,1,1.07837906398345,1
95,1,1.91018662124407,2
96,0,1.84384555963334,2
97,1,3.14114715065807,2
98,0,2.79679749335628,3
99,1,3.98338952078484,3
100,1,2.00575272995047,2
101,1,4.049994479632,2
102,1,1.91641177015845,3
103,1,2.9943065168336,1
104,0,4.22723691374995,4
105,NA,2.9914511985844,2
106,1,3.19517511106096,3
107,0,1.20721909345593,3
108,0,2.05436749116052,3
109,1,1.95534488826524,1
110,1,2.82354734546971,2
111,0,2.21764990163501,2
112,0,0.900614449987188,2
113,0,3.7803602857748,3
114,0,3.22386347001884,3
115,1,4.11029813671485,3
116,1,1.82114714779891,1
117,1,1.02464232803322,1
118,1,2.22704561927821,4
119,1,2.04274167655967,1
120,0,0.952255140873604,1
121,1,4.07394673966337,4
122,1,2.90991030854639,2
123,1,3.90386000543367,2
124,1,2.8598838156322,4
125,1,1.9347444329178,4
126,1,1.24210960173514,1
127,0,3.82710115041118,NA
128,1,1.79552199994214,1
129,1,3.82095345389098,4
130,NA,2.09500355075579,NA
131,NA,3.05962824169546,NA
132,0,1.1956970585743,1
133,1,4.08649954630528,2
134,0,1.11853886896279,4
135,0,4.01056786288973,2
136,0,2.0799192248378,2
137,0,2.16090273007285,4
138,1,2.14314077585004,3
139,0,1.23991095868405,1
140,1,0.969715768122114,3
141,1,1.90585110103711,4
142,1,3.95473747630604,2
143,NA,2.75523355591577,NA
144,0,2.84192476200406,4
145,1,4.1713646594435,2
146,1,2.86558089102618,3
147,1,1.86954997782595,2
148,1,2.78834558266681,2
149,1,1.87286183901597,1
150,1,1.11606760276482,1
151,0,4.17372658255044,2
152,0,0.998763633542694,2
153,0,1.94395451492164,3
154,0,2.87322449707426,4
155,0,1.80554823065177,3
156,0,3.94499721762259,2
157,0,3.03596765699331,4
158,0,1.85844638140406,4
159,1,2.97238400101196,4
160,1,1.85899533436168,2
161,0,2.00114978163037,2
162,1,2.92695228592493,2
163,1,3.07499257940799,1
164,0,1.93735697830562,3
165,0,2.92772269039415,3
166,1,4.01684397272766,4
167,1,1.12016718019731,1
168,1,0.860551468911581,1
169,0,1.95637305930723,4
170,0,3.88284334342461,4
171,0,3.06498652673326,3
172,1,0.841914245393127,3
173,NA,3.18182205571793,NA
174,0,2.12328400206752,4
175,1,4.08414232486393,2
176,1,2.05900893663056,3
177,0,2.93611903011333,4
178,NA,2.01491784292739,NA
