,girl,age,education_head,sheep,duration_village,farmer,number_ppl_hh,f07_test_observed,treatment,clustercode,formal_school,distance_nearest_school,testscores
1,1,7,6,0,35,0,6,1,1,5,1,4.0972052,0.185185192
2,1,9,6,0,35,0,6,1,1,5,1,4.0972052,0.592592603
3,1,11,0,10,35,0,3,1,1,5,1,4.169591,0.777777812
4,0,8,0,20,15,1,10,1,1,5,1,4.1835222,0.740740757
5,1,8,0,20,15,1,10,1,1,5,1,4.1835222,0.481481492
6,1,7,0,20,15,1,10,1,1,5,1,4.1835222,0.37037038
7,0,8,5,20,50,1,9,1,1,5,1,4.0909238,0.777777812
8,0,7,5,20,50,1,9,1,1,5,1,4.0909238,0.740740757
9,1,6,5,20,50,1,9,1,1,5,1,4.0909238,0.296296303
10,1,8,2,0,20,0,7,1,1,5,1,4.2038269,0.851851865
11,1,7,2,0,20,0,7,1,1,5,1,4.2038269,0.740740757
12,0,10,2,0,20,0,7,1,1,5,1,4.2038269,0.962962973
13,1,8,0,30,50,1,7,1,1,5,1,4.1223254,0.481481492
14,0,6,0,30,50,1,7,1,1,5,1,4.1223254,0.222222222
15,1,8,0,5,20,1,7,1,1,5,1,4.2605782,0.777777812
16,0,7,0,5,20,1,7,1,1,5,1,4.2605782,0.555555573
17,1,10,10,8,4,0,9,1,1,5,1,4.1287899,0.777777812
18,0,10,10,8,4,0,9,1,1,5,1,4.1287899,1
19,0,11,10,8,4,0,9,1,1,5,1,4.1287899,1
20,0,8,10,8,4,0,9,1,1,5,1,4.1287899,0.851851865
21,0,7,4,26,11,1,12,1,1,5,1,4.1534429,0.777777812
22,1,8,5,20,1,0,7,1,1,5,1,4.2248521,0.111111111
23,0,7,0,10,20,1,9,1,1,5,1,4.1377563,0.962962973
24,1,7,0,20,45,1,5,1,1,5,1,4.2133126,0.14814816
25,0,6,0,0,1,1,5,1,1,5,1,4.2353115,0.37037038
26,1,8,0,0,15,1,7,1,1,5,1,2.1375613,0.407407416
27,0,9,0,0,15,1,7,1,1,5,1,2.1375613,0.703703703
28,0,7,3,10,20,0,7,1,1,5,1,1.4697633,0
29,1,9,3,10,20,0,7,1,1,5,1,1.4697633,0.555555573
30,1,10,5,10,40,0,9,1,1,5,1,1.4573156,0.88888892
31,1,11,5,10,40,0,9,1,1,5,1,1.4573156,0.592592603
32,0,7,5,10,40,0,9,1,1,5,1,1.4573156,0.925925974
33,0,6,5,10,40,0,9,1,1,5,1,1.4573156,0.111111111
34,0,10,2,10,50,1,5,1,1,5,1,2.1695487,0.629629652
35,1,10,2,7,25,1,8,1,1,5,1,1.5015851,0.259259271
36,0,11,2,7,25,1,8,1,1,5,1,1.5015851,0.740740757
37,0,7,2,7,25,1,8,1,1,5,1,1.5015851,0.14814816
38,1,7,0,15,40,0,5,1,1,5,1,1.4930503,0.333333343
39,1,9,0,15,40,0,5,1,1,5,1,1.4930503,0.925925974
40,1,8,10,0,30,0,8,1,1,5,1,2.128876,0.703703703
41,0,11,1,4,40,1,6,1,1,5,1,1.5293709,0.777777812
42,1,10,1,4,40,1,6,1,1,5,1,1.5293709,0.518518524
43,0,6,0,15,40,1,6,1,1,5,1,2.1693106,0.481481492
44,1,7,0,15,40,1,6,1,1,5,1,2.1693106,0.111111111
45,0,8,2,5,25,1,4,1,1,5,1,1.4930503,0.777777812
46,1,9,5,10,30,1,8,1,1,5,1,1.4930503,0.777777812
47,0,7,5,10,30,1,8,1,1,5,1,1.4930503,0.444444452
48,1,8,5,10,30,1,8,1,1,5,1,1.4930503,1
49,0,7,3,5,30,1,6,1,1,5,1,2.1649833,0.444444452
50,0,8,0,3,16,1,7,1,1,5,1,2.1928368,0.407407416
51,0,11,0,3,16,1,7,1,1,5,1,2.1928368,0.88888892
52,0,10,0,3,16,1,7,1,1,5,1,2.1928368,0.185185192
53,0,8,0,5,30,0,11,1,1,5,1,1.4921961,0.296296303
54,0,7,0,5,30,0,11,1,1,5,0,1.4921961,0
55,1,9,0,5,30,0,11,1,1,5,1,1.4921961,0.777777812
56,0,6,7,3,30,0,6,1,1,5,1,2.1278355,0.444444452
57,0,11,0,3,20,1,9,1,1,5,1,1.8040538,0.740740757
58,1,7,0,5,30,1,4,1,1,5,1,2.1832206,0.185185192
59,1,8,0,4,15,0,9,1,1,5,1,1.5064195,0
60,0,6,0,4,15,0,9,1,1,5,1,1.5064195,0
61,0,10,0,4,15,0,9,1,1,5,1,1.5064195,0.740740757
62,0,6,1,4,40,1,8,1,1,5,1,1.5044353,0.111111111
63,1,9,1,4,40,1,8,1,1,5,1,1.5044353,0.740740757
64,1,9,5,15,36,1,12,1,1,5,1,2.2614779,0.740740757
65,0,6,5,15,36,1,12,1,1,5,1,2.2614779,0.296296303
66,0,11,10,10,40,1,10,1,1,5,1,2.3234522,0.666666676
67,0,7,10,10,40,1,10,1,1,5,1,2.3234522,0.925925974
68,0,6,10,10,40,1,10,1,1,5,0,2.3234522,0
69,0,11,2,5,20,0,6,1,1,5,1,2.3247969,1
70,0,7,2,5,20,0,6,1,1,5,1,2.3247969,0.444444452
71,1,9,2,4,50,1,10,1,1,5,1,2.3467398,0.851851865
72,0,6,2,4,50,1,10,1,1,5,1,2.3467398,0.444444452
73,1,11,2,4,50,1,10,1,1,5,1,2.3467398,0.777777812
74,1,9,6,20,30,1,14,1,1,5,1,2.2700946,0.851851865
75,1,7,6,20,30,1,14,0,1,5,1,2.2700946,NA
76,0,6,6,20,30,1,14,0,1,5,1,2.2700946,NA
77,0,10,0,10,18,1,2,1,1,5,1,2.3582363,0.259259271
78,0,7,4,15,33,1,9,1,1,5,1,2.0828402,0.777777812
79,1,11,4,15,33,1,9,1,1,5,1,2.0828402,0.703703703
80,0,7,3,10,53,1,10,1,1,5,0,2.4516768,0.629629652
81,1,6,3,10,53,1,10,1,1,5,0,2.4516768,0.111111111
82,0,8,0,0,35,0,7,1,1,5,1,2.3348527,0.777777812
83,1,7,0,0,35,0,7,1,1,5,0,2.3348527,0.111111111
84,1,11,0,0,40,1,6,1,1,5,1,2.3348527,0.666666676
85,1,6,0,0,40,1,6,1,1,5,0,2.3348527,0.111111111
86,0,7,2,15,45,1,13,1,1,5,1,2.0597432,0.518518524
87,0,7,0,0,35,1,6,1,1,5,0,2.0608249,0
88,0,10,0,0,35,1,6,1,1,5,1,2.0608249,0.111111111
89,1,8,0,0,45,0,9,1,1,5,0,2.2888722,0.111111111
90,0,8,7,10,36,0,10,1,1,5,1,2.3151712,0.703703703
91,1,7,7,10,36,0,10,1,1,5,0,2.3151712,0.259259271
92,0,6,7,10,36,0,10,1,1,5,1,2.3151712,0.111111111
93,0,6,0,10,40,1,13,1,1,5,1,2.2796233,0.074074054
94,0,11,0,10,40,1,13,1,1,5,0,2.2796233,0.518518524
95,0,8,0,10,40,1,13,1,1,5,1,2.2796233,0.222222222
96,1,10,6,14,35,1,10,1,1,5,1,2.3151712,0.703703703
97,0,7,6,14,35,1,10,1,1,5,1,2.3151712,0.518518524
98,1,7,6,14,35,1,10,1,1,5,1,2.3151712,0.14814816
99,1,6,6,14,35,1,10,1,1,5,0,2.3151712,0.111111111
100,1,6,0,7,40,1,9,1,1,5,1,2.3348527,0.629629652
101,0,11,0,7,40,1,9,1,1,5,1,2.3348527,0.703703703
102,1,8,12,12,40,0,10,1,1,5,0,2.2890284,1
103,1,6,12,12,40,0,10,1,1,5,1,2.2890284,0.555555573
104,0,9,2,6,43,1,8,1,1,5,1,2.2351704,0.555555573
105,0,7,1,20,40,1,10,1,1,5,1,2.9679925,1
106,1,6,1,10,30,0,9,0,1,5,0,2.3041434,NA
107,0,11,1,10,30,0,9,0,1,5,1,2.3041434,NA
108,1,9,2,0,12,0,6,1,1,5,1,2.2438173,0.777777812
109,1,8,0,0,15,1,7,1,1,5,0,2.7431755,0.629629652
110,1,8,7,10,28,0,14,1,1,5,1,2.2098067,0.555555573
111,0,9,7,10,28,0,14,1,1,5,1,2.2098067,1
112,0,7,7,10,28,0,14,1,1,5,1,2.2098067,0.777777812
113,1,8,0,15,30,1,7,1,1,4,1,4.0451727,0.851851865
114,0,10,0,15,30,1,7,1,1,4,0,4.0451727,0.740740757
115,0,11,0,15,30,1,7,1,1,4,1,4.0451727,0.88888892
116,1,6,0,5,30,1,8,1,1,4,0,4.0899453,0.222222222
117,0,8,0,5,30,1,8,1,1,4,1,4.0899453,0.481481492
118,1,8,1,5,30,1,11,1,1,4,0,3.6148267,0.37037038
119,1,10,1,5,30,1,11,1,1,4,1,3.6148267,0.777777812
120,1,9,3,0,22,0,7,1,1,4,1,4.124331,0.333333343
121,1,7,3,0,22,0,7,1,1,4,1,4.124331,0.037037054
122,1,8,0,0,14,1,9,1,1,4,1,4.0726647,0.666666676
123,1,10,2,6,20,1,6,1,1,4,1,3.6218712,0.481481492
124,0,10,2,6,10,1,7,0,1,4,0,4.0947571,NA
125,0,7,2,6,10,1,7,1,1,4,0,4.0947571,0.074074054
126,0,8,0,5,40,1,8,1,1,4,1,4.0992446,0.481481492
127,0,11,0,5,40,1,8,1,1,4,1,4.0992446,0.703703703
128,1,6,0,20,30,0,8,1,1,4,1,4.105804,0.444444452
129,1,10,0,20,30,0,8,1,1,4,1,4.105804,0.703703703
130,0,7,0,0,40,1,5,1,1,4,1,4.0763035,0.666666676
131,0,10,2,10,10,1,7,1,1,4,1,4.0007005,0.925925974
132,0,7,2,10,10,1,7,1,1,4,0,4.0007005,0.111111111
133,0,7,2,25,30,1,4,1,1,4,0,4.2879062,0.333333343
134,0,11,14,20,20,0,14,1,1,4,1,4.0681572,0.962962973
135,0,10,14,20,20,0,14,1,1,4,0,4.0681572,0.814814838
136,0,7,14,20,20,0,14,1,1,4,0,4.0681572,0.111111111
137,1,8,14,20,20,0,14,1,1,4,1,4.0681572,0.37037038
138,1,10,14,20,20,0,14,1,1,4,1,4.0681572,0.481481492
139,0,10,0,2,12,0,8,1,1,4,1,4.1288066,0.925925974
140,0,8,0,2,12,0,8,1,1,4,1,4.1288066,0.88888892
141,1,7,0,2,12,0,8,1,1,4,1,4.1288066,0.444444452
142,0,7,6,6,10,1,5,0,1,4,0,4.2046304,NA
143,0,10,0,0,30,0,9,1,1,4,1,4.2109551,0.666666676
144,1,11,0,0,30,0,9,1,1,4,1,4.2109551,0.629629652
145,0,8,0,3,25,1,6,1,1,4,1,4.088068,0.37037038
146,1,6,0,0,30,1,10,1,1,4,1,4.0851188,0.37037038
147,1,7,0,0,30,1,10,1,1,4,1,4.0851188,0.481481492
148,0,11,0,10,20,1,11,1,1,4,1,4.1386743,0.740740757
149,1,9,0,10,20,1,11,1,1,4,1,4.1386743,0.444444452
