st,stateno,state,year,govparty_b_2,sen_rep_in_sess,sen_dem_in_sess,hs_dem_in_sess,hs_rep_in_sess
AL,1,Alabama,2000,1,12,23,69,36
AK,2,Alaska,2000,1,15,5,14,26
AZ,3,Arizona,2000,-1,16,14,22,38
AR,4,Arkansas,2000,-1,6,29,74,23
CA,5,California,2000,1,15,24,47,32
CO,6,Colorado,2000,-1,20,15,25,40
CT,7,Connecticut,2000,-1,17,19,96,55
DE,8,Delaware,2000,1,8,13,15,26
FL,9,Florida,2000,-1,24,15,47,73
GA,10,Georgia,2000,1,22,33,102,78
HI,11,Hawaii,2000,1,2,23,38,12
ID,12,Idaho,2000,-1,31,4,12,58
IL,13,Illinois,2000,-1,32,27,62,56
IN,14,Indiana,2000,1,31,19,53,47
IA,15,Iowa,2000,1,30,20,44,56
KS,16,Kansas,2000,-1,27,13,48,77
KY,17,Kentucky,2000,1,20,18,64,35
LA,18,Louisiana,2000,-1,13,26,76,29
ME,19,Maine,2000,0,15,19,81,69
MD,20,Maryland,2000,1,15,32,106,35
MA,21,Massachusetts,2000,-1,8,32,128,29
MI,22,Michigan,2000,-1,23,15,52,58
MN,23,Minnesota,2000,0,25,41,63,70
MS,24,Mississippi,2000,1,18,34,86,33
MO,25,Missouri,2000,1,16,18,86,76
MT,26,Montana,2000,-1,32,18,41,59
NE,27,Nebraska,2000,-1,NA,NA,NA,NA
NV,28,Nevada,2000,-1,12,9,28,14
NH,29,New Hampshire,2000,1,12,12,153,244
NJ,30,New Jersey,2000,-1,24,16,35,45
NM,31,New Mexico,2000,-1,17,25,40,30
NY,32,New York,2000,-1,36,23,98,52
NC,33,North Carolina,2000,1,15,35,66,54
ND,34,North Dakota,2000,-1,31,18,34,63
OH,35,Ohio,2000,-1,21,12,39,59
OK,36,Oklahoma,2000,-1,15,33,61,40
OR,37,Oregon,2000,1,17,13,25,35
PA,38,Pennsylvania,2000,-1,30,20,100,103
RI,39,Rhode Island,2000,-1,8,42,85,12
SC,40,South Carolina,2000,1,22,24,57,67
SD,41,South Dakota,2000,-1,22,13,19,51
TN,42,Tennessee,2000,-1,15,18,61,38
TX,43,Texas,2000,-1,16,15,78,72
UT,44,Utah,2000,-1,18,11,21,54
VT,45,Vermont,2000,1,13,17,77,67
VA,46,Virginia,2000,-1,21,19,47,52
WA,47,Washington,2000,1,22,27,49,49
WV,48,West Virginia,2000,-1,5,29,75,25
WI,49,Wisconsin,2000,-1,16,17,44,55
WY,50,Wyoming,2000,-1,20,10,17,43
AL,1,Alabama,2010,-1,14,21,60,45
AK,2,Alaska,2010,-1,10,10,18,22
AZ,3,Arizona,2010,-1,18,12,25,35
AR,4,Arkansas,2010,1,8,27,71,28
CA,5,California,2010,-1,14,25,49,29
CO,6,Colorado,2010,1,14,21,38,27
CT,7,Connecticut,2010,-1,12,24,114,37
DE,8,Delaware,2010,1,6,15,24,17
FL,9,Florida,2010,-1,26,14,44,76
GA,10,Georgia,2010,-1,34,22,74,105
HI,11,Hawaii,2010,-1,2,23,45,6
ID,12,Idaho,2010,-1,28,7,18,52
IL,13,Illinois,2010,1,22,37,70,48
IN,14,Indiana,2010,-1,33,17,52,48
IA,15,Iowa,2010,1,18,32,56,44
KS,16,Kansas,2010,1,31,9,49,76
KY,17,Kentucky,2010,1,20,17,65,35
LA,18,Louisiana,2010,-1,15,24,52,50
ME,19,Maine,2010,1,15,20,96,54
MD,20,Maryland,2010,1,14,33,104,36
MA,21,Massachusetts,2010,1,5,35,143,16
MI,22,Michigan,2010,1,22,16,66,43
MN,23,Minnesota,2010,-1,21,46,87,47
MS,24,Mississippi,2010,-1,25,26,74,48
MO,25,Missouri,2010,1,23,11,74,88
MT,26,Montana,2010,1,27,23,50,50
NE,27,Nebraska,2010,-1,NA,NA,NA,NA
NV,28,Nevada,2010,-1,9,12,28,14
NH,29,New Hampshire,2010,1,10,14,225,175
NJ,30,New Jersey,2010,-1,17,23,47,33
NM,31,New Mexico,2010,1,15,27,45,25
NY,32,New York,2010,1,30,32,105,43
NC,33,North Carolina,2010,1,20,30,68,52
ND,34,North Dakota,2010,-1,26,21,36,58
OH,35,Ohio,2010,1,21,12,53,46
OK,36,Oklahoma,2010,1,26,22,40,61
OR,37,Oregon,2010,1,12,18,36,24
PA,38,Pennsylvania,2010,1,30,20,103,97
RI,39,Rhode Island,2010,-1,4,33,69,6
SC,40,South Carolina,2010,-1,27,19,53,71
SD,41,South Dakota,2010,-1,21,14,24,46
TN,42,Tennessee,2010,1,19,14,48,51
TX,43,Texas,2010,-1,19,12,73,77
UT,44,Utah,2010,-1,21,8,22,53
VT,45,Vermont,2010,-1,7,23,95,48
VA,46,Virginia,2010,1,18,22,39,59
WA,47,Washington,2010,1,18,31,61,37
WV,48,West Virginia,2010,1,8,26,71,29
WI,49,Wisconsin,2010,1,15,18,52,46
WY,50,Wyoming,2010,1,23,7,19,41
