State,stateno,year,crime_rate
        Alabama,1,2000,486.1595197
        Alaska,2,2000,566.8876369
        Arizona,3,2000,531.7278651
        Arkansas,4,2000,445.2756789
        California,5,2000,621.5552311
        Colorado,6,2000,334.0183263
        Connecticut,7,2000,324.7038303
        Delaware,8,2000,684.4053088
        District of Columbia,51,2000,1507.886424
        Florida,9,2000,812.0005671
        Georgia,10,2000,504.724085
        Hawaii,11,2000,243.8225164
        Idaho,12,2000,252.4821226
        Illinois,13,2000,653.7892294
        Indiana,14,2000,349.14978
        Iowa,15,2000,266.4093245
        Kansas,16,2000,389.448367
        Kentucky,17,2000,294.4997599
        Louisiana,18,2000,681.1403776
        Maine,19,2000,109.5752449
        Maryland,20,2000,786.6158808
        Massachusetts,21,2000,476.1307002
        Michigan,22,2000,555.0063974
        Minnesota,23,2000,280.7817657
        Mississippi,24,2000,360.9221214
        Missouri,25,2000,490.0440752
        Montana,26,2000,311.1300772
        Nebraska,27,2000,327.5942973
        Nevada,28,2000,524.1568027
        New Hampshire,29,2000,175.3539852
        New Jersey,30,2000,383.844266
        New Mexico,31,2000,757.8697845
        New York,32,2000,553.9021325
        North Carolina,33,2000,497.5704138
        North Dakota,34,2000,81.43880411
Ohio,35,2000,334.1366353
        Oklahoma,36,2000,497.7896944
        Oregon,37,2000,350.7337203
        Pennsylvania,38,2000,420.0290952
        Rhode Island,39,2000,297.7147223
        South Carolina,40,2000,828.1381013
        South Dakota,41,2000,166.7894293
        Tennessee,42,2000,707.1717121
        Texas,43,2000,545.0507438
        Utah,44,2000,255.7352354
        Vermont,45,2000,113.4969376
        Virginia,46,2000,281.7398847
        Washington,47,2000,369.6564763
        West Virginia,48,2000,316.4773959
        Wisconsin,49,2000,236.7779554
        Wyoming,50,2000,266.5143727
        Alabama,1,2010,453.5579572
        Alaska,2,2010,837.8490012
        Arizona,3,2010,484.8141207
        Arkansas,4,2010,671.9304463
        California,5,2010,442.0485044
        Colorado,6,2010,423.0576583
        Connecticut,7,2010,181.5852995
        Delaware,8,2010,431.8971554
        District of Columbia,51,2010,999.8372652
        Florida,9,2010,383.5954686
        Georgia,10,2010,400.0927356
        Hawaii,11,2010,254.1566987
        Idaho,12,2010,242.5950223
        Illinois,13,2010,425.9135827
        Indiana,14,2010,357.6782844
        Iowa,15,2010,303.4871147
        Kansas,16,2010,425.0456019
        Kentucky,17,2010,259.0875517
        Louisiana,18,2010,639.4395389
        Maine,19,2010,108.5812519
        Maryland,20,2010,399.8644606
        Massachusetts,21,2010,308.8093346
        Michigan,22,2010,478.0087001
        Minnesota,23,2010,277.4801311
        Mississippi,24,2010,291.1568276
        Missouri,25,2010,542.7089246
        Montana,26,2010,469.8415754
        Nebraska,27,2010,334.0813563
        Nevada,28,2010,460.2870573
        New Hampshire,29,2010,146.3834148
        New Jersey,30,2010,195.3645035
        New Mexico,31,2010,778.2771745
        New York,32,2010,363.7576398
        North Carolina,33,2010,419.3165002
        North Dakota,34,2010,329.0174296
Ohio,35,2010,308.7601983
        Oklahoma,36,2010,458.578124
        Oregon,37,2010,291.8773917
        Pennsylvania,38,2010,389.5174108
        Rhode Island,39,2010,230.8147097
        South Carolina,40,2010,530.6781857
        South Dakota,41,2010,501.3906983
        Tennessee,42,2010,672.7038869
        Texas,43,2010,446.459848
        Utah,44,2010,260.6558583
        Vermont,45,2010,173.4186577
        Virginia,46,2010,208.6591996
        Washington,47,2010,293.6982005
        West Virginia,48,2010,355.8968101
        Wisconsin,49,2010,323.3690318
        Wyoming,50,2010,234.232254
