"","year","ch_rdi","ch_gdp","unemployment","incumbent_margin","winner_name","incumbent_party","incumbent_name","challenger_name","g2gdp","approval","incumbent","incumbent_vote","polarization"
"1",2016,0.89440277,0.617204341,4.9,2.226439793,"H. Clinton","Democrat","H. Clinton","Trump",1.2,51,0,52.22643979,0.876762026
"2",2012,2.83328594,1.636825622,8.2,3.929038634,"Obama","Democrat","Obama","Romney",2.4,47,1,53.92903863,0.861314898
"3",2008,1.304587012,0.137280303,5.6,-7.376688581,"Obama","Republican","McCain","Obama",1.1,28,0,42.62331142,0.807572896
"4",2004,2.673205579,3.269449956,5.6,2.488262523,"GWB","Republican","GWB","Kerry",4.2,48,1,52.48826252,0.793124896
"5",2000,4.130123779,4.125390451,4,0.53945601,"Gore","Democrat","Gore","GWB",5.3,55,0,50.53945601,0.777388858
"6",1996,2.211515131,2.801057003,5.3,9.47052664,"B. Clinton","Democrat","B. Clinton","Dole",4,52,1,59.47052664,0.75851972
"7",1992,2.932919622,1.812320529,7.8,-6.909838123,"B. Clinton","Republican","GHWB","B. Clinton",3.2,38,1,43.09016188,0.658982571
"8",1988,4.803649345,3.545936649,5.4,7.803117341,"GHWB","Republican","GHWB","Dukakis",4.5,48,0,57.80311734,0.644651435
"9",1984,6.656864056,7.058432935,7.2,18.33923949,"Reagan","Republican","Reagan","Mondale",8,53,1,68.33923949,0.627328108
"10",1980,-1.076016882,-1.931337618,7.6,-10.61068288,"Reagan","Democrat","Carter","Reagan",-1.6,31,1,39.38931712,0.595993678
"11",1976,0.103790837,5.13681448,7.6,-2.104571345,"Carter","Republican","Ford","Carter",6.2,45,1,47.89542866,0.580193878
"12",1972,2.102102102,4.112932753,5.7,23.57221979,"Nixon","Republican","Nixon","McGovern",5.3,56,1,73.57221979,0.564948263
"13",1968,4.035707644,4.460186278,3.7,-0.811892713,"Nixon","Democrat","Humphrey","Nixon",5.5,40,0,49.18810729,0.538546455
"14",1964,6.089980761,4.708912931,5.2,22.69160479,"Johnson","Democrat","Johnson","Goldwater",6.2,74,1,72.69160479,0.548062376
"15",1960,0.308910891,-0.02214349,5.4,-0.165122813,"JFK","Republican","Nixon","JFK",2.1,57,0,49.83487719,0.562427739
"16",1956,3.231263746,0.622801453,4.3,15.5033028,"Ike","Republican","Ike","Stevenson",2.4,73,1,65.5033028,0.556349104
"17",1952,0.4416636,1.82239479,3,-10.90377788,"Ike","Democrat","Stevenson","Ike",3.6,32,0,39.09622212,0.542352657
"18",1948,4.494264859,2.794128076,3.6,4.739061549,"Truman","Democrat","Truman","Dewey",4.6,40,1,54.73906155,0.522668616
