"","id","country","commie","me_nafr","ssafrica","asia","latin","female_vote","female_voteMOD","female_min","female_seats","female_seats95","gender_rights","laborfemaleMOD","closed_list","PR","polity","gdpcap2000","oil","zislam","female_seats_15"
"1","AFG","Afghanistan",0,0,0,0,0,NA,NA,0.1,NA,NA,NA,34.4983291625977,NA,NA,-4.375,NA,20.855131149292,2.03566336631775,NA
"2","AGO","Angola",0,0,1,0,0,1975,1975,0.1,15,9.5,NA,46.3114852905273,NA,NA,-2.45454549789429,701.497924804688,257.717193603516,-0.723371386528015,0
"3","ALB","Albania",1,0,0,0,0,1920,1920,0.1,6.4,12.1000003814697,NA,41.0631713867188,1,1,4.90909099578857,1052.57922363281,158.205429077148,0.347293019294739,0
"4","ARE","United Arab Emirates",0,1,0,0,0,NA,2006,0.1,0,0,2.01999998092651,2.70000004768372,NA,NA,-8,21675.24609375,16911.939453125,1.47740018367767,0
"5","ARG","Argentina",0,0,0,0,1,1947,1947,0.1,33.7,25.2999992370605,NA,32.3196754455566,1,1,7.45454549789429,7449.54736328125,230.433166503906,-0.672866702079773,1
"6","ARM","Armenia",1,0,0,0,0,1921,1921,0,5.3,6.30000019073486,NA,48.866527557373,1,1,3.18181824684143,572.651916503906,0,-0.621342360973358,0
"7","AUS","Australia",0,0,0,0,0,1902,1902,0.2,24.7,15.5,NA,41.862922668457,0,1,10,19327.9140625,546.088684082031,-0.690591037273407,1
"8","AUT","Austria",0,0,0,0,0,1918,1918,0.4,33.9,26.7999992370605,NA,38.078857421875,1,1,10,22391.36328125,67.1968383789062,-0.66887491941452,1
"9","AZE","Azerbaijan",1,0,0,0,0,1921,1921,0.2,10.5,12,NA,24.0349254608154,1,1,-6,629.668395996094,227.97721862793,1.60934567451477,0
"10","BDI","Burundi",0,0,1,0,0,1961,1961,0.1,18.4,NA,NA,48.9493865966797,NA,1,-1.44444441795349,109.22859954834,0,-0.686404049396515,1
"11","BEL","Belgium",0,0,0,0,0,1919,1919,0.2,34.7,12,NA,40.091236114502,1,1,10,20905.33984375,15.5545768737793,-0.626614153385162,1
"12","BEN","Benin",0,0,1,0,0,1956,1956,0.2,7.2,7.19999980926514,NA,48.2047004699707,1,1,6,345.780792236328,10.6103754043579,-0.182246759533882,0
